# AEGIS V2 Universe Manifest — 2026-04-04 — Source: config/contracts.toml
symbol,exchange,sec_type,currency,leverage,sector
6823,HKEX,STK,HKD,1,Technology
6862,HKEX,STK,HKD,1,Consumer
9618,HKEX,STK,HKD,1,Technology
9626,HKEX,STK,HKD,1,Unknown
9698,HKEX,STK,HKD,1,Unknown
9888,HKEX,STK,HKD,1,Technology
9961,HKEX,STK,HKD,1,Unknown
9968,HKEX,STK,HKD,1,Unknown
9969,HKEX,STK,HKD,1,Unknown
9988,HKEX,STK,HKD,1,Technology
9999,HKEX,STK,HKD,1,Technology
000150,KRX,STK,KRW,1,Unknown
000270,KRX,STK,KRW,1,Unknown
000660,KRX,STK,KRW,1,Semiconductors
000720,KRX,STK,KRW,1,Unknown
000810,KRX,STK,KRW,1,Unknown
000880,KRX,STK,KRW,1,Unknown
001450,KRX,STK,KRW,1,Unknown
001570,KRX,STK,KRW,1,Unknown
002380,KRX,STK,KRW,1,Unknown
002790,KRX,STK,KRW,1,Unknown
003490,KRX,STK,KRW,1,Unknown
003550,KRX,STK,KRW,1,Unknown
003670,KRX,STK,KRW,1,Unknown
004020,KRX,STK,KRW,1,Unknown
004170,KRX,STK,KRW,1,Unknown
004990,KRX,STK,KRW,1,Unknown
005380,KRX,STK,KRW,1,Automotive
005830,KRX,STK,KRW,1,Unknown
005930,KRX,STK,KRW,1,Semiconductors
005935,KRX,STK,KRW,1,Unknown
006360,KRX,STK,KRW,1,Unknown
006400,KRX,STK,KRW,1,Semiconductors
006800,KRX,STK,KRW,1,Unknown
007070,KRX,STK,KRW,1,Unknown
008930,KRX,STK,KRW,1,Unknown
009150,KRX,STK,KRW,1,Unknown
009540,KRX,STK,KRW,1,Unknown
009830,KRX,STK,KRW,1,Unknown
010120,KRX,STK,KRW,1,Unknown
010130,KRX,STK,KRW,1,Unknown
010140,KRX,STK,KRW,1,Unknown
010950,KRX,STK,KRW,1,Unknown
011170,KRX,STK,KRW,1,Unknown
011200,KRX,STK,KRW,1,Unknown
011780,KRX,STK,KRW,1,Unknown
012330,KRX,STK,KRW,1,Unknown
015760,KRX,STK,KRW,1,Unknown
016360,KRX,STK,KRW,1,Unknown
017670,KRX,STK,KRW,1,Unknown
018260,KRX,STK,KRW,1,Unknown
018880,KRX,STK,KRW,1,Unknown
020150,KRX,STK,KRW,1,Unknown
021240,KRX,STK,KRW,1,Unknown
023530,KRX,STK,KRW,1,Unknown
024110,KRX,STK,KRW,1,Unknown
028260,KRX,STK,KRW,1,Unknown
029780,KRX,STK,KRW,1,Unknown
030200,KRX,STK,KRW,1,Unknown
032830,KRX,STK,KRW,1,Unknown
033780,KRX,STK,KRW,1,Unknown
034020,KRX,STK,KRW,1,Unknown
034220,KRX,STK,KRW,1,Unknown
034730,KRX,STK,KRW,1,Conglomerate
035420,KRX,STK,KRW,1,Technology
035720,KRX,STK,KRW,1,Technology
036460,KRX,STK,KRW,1,Unknown
036570,KRX,STK,KRW,1,Unknown
051910,KRX,STK,KRW,1,Chemicals
055550,KRX,STK,KRW,1,Unknown
066570,KRX,STK,KRW,1,Unknown
068270,KRX,STK,KRW,1,Unknown
086790,KRX,STK,KRW,1,Unknown
090430,KRX,STK,KRW,1,Unknown
096770,KRX,STK,KRW,1,Unknown
097950,KRX,STK,KRW,1,Unknown
105560,KRX,STK,KRW,1,Unknown
138040,KRX,STK,KRW,1,Unknown
207940,KRX,STK,KRW,1,Healthcare
251270,KRX,STK,KRW,1,Unknown
373220,KRX,STK,KRW,1,Energy
3IN.L,LSE,STK,GBP,1,Financial_Services
AAF.L,LSE,STK,GBP,1,Telecommunications
AAL.L,LSE,STK,GBP,1,Mining
AAS.L,LSE,STK,GBP,1,Investment_Trusts
ABDN.L,LSE,STK,GBP,1,Finance
ABF.L,LSE,STK,GBP,1,Food
ADM.L,LSE,STK,GBP,1,Insurance
AEP.L,LSE,STK,GBP,1,Food
AEWU.L,LSE,STK,GBP,1,Reit
AGT.L,LSE,STK,GBP,1,Investment_Trusts
AIE.L,LSE,STK,GBP,1,Investment_Trusts
AJB.L,LSE,STK,GBP,1,Finance
ALFA.L,LSE,STK,GBP,1,Technology
ALW.L,LSE,STK,GBP,1,Investment_Trusts
AML.L,LSE,STK,GBP,1,Automotive
ANTO.L,LSE,STK,GBP,1,Mining
AO..L,LSE,STK,GBP,1,Retail
AO.L,LSE,STK,GBP,1,Retail
APN.L,LSE,STK,GBP,1,Food
APTD.L,LSE,STK,GBP,1,Software
ASHM.L,LSE,STK,GBP,1,Finance
ASL.L,LSE,STK,GBP,1,Investment_Trusts
ATR.L,LSE,STK,GBP,1,Investment_Trusts
ATT.L,LSE,STK,GBP,1,Investment_Trusts
ATYM.L,LSE,STK,GBP,1,Mining
AUTO.L,LSE,STK,GBP,1,Media
AV..L,LSE,STK,GBP,1,Insurance
AV.L,LSE,STK,GBP,1,Life_insurance
AVON.L,LSE,STK,GBP,1,Industrials
AZN.L,LSE,STK,GBP,1,Pharma
BA..L,LSE,STK,GBP,1,Aerospace_Defense
BA.L,LSE,STK,GBP,1,Aerospace_&_defence
BAB.L,LSE,STK,GBP,1,Aerospace_Defense
BAG.L,LSE,STK,GBP,1,Beverages
BARC.L,LSE,STK,GBP,1,Finance
